INSEE,NOM,moyenne_age
01001,L'Abergement-Cl̩menciat,41.8307147818035
01002,L'Abergement-de-Varey,39.4455363451039
01004,Amb̩rieu-en-Bugey,39.5420333826027
01005,Amb̩rieux-en-Dombes,39.8049943883277
01006,Ambl̩on,48.780701754386
01007,Ambronay,38.7690007645326
01008,Ambutrix,39.0685206956049
01009,Andert-et-Condon,46.2989061491251
01010,Anglefort,38.6537263094421
01011,Apremont,39.9851798167709
01012,Aranc,44.4814562163144
01013,Arandas,42.3194444444444
01014,Arbent,42.2555274331745
01015,Arboys en Bugey,44.6523265619734
01016,Arbigny,41.2521834061135
01017,Argis,42.5829491723194
01019,Armix,49.0961538461538
01021,Ars-sur-Formans,39.5983860004116
01022,Artemare,45.2439587273339
01023,Asni̬res-sur-Sa̫ne,41.1644736842105
01024,Attignat,39.5061606216622
01025,B̢g̩-Dommartin,39.4386484375514
01026,B̢g̩-le-Ch̢tel,43.5511420178011
01027,Balan,33.1551767483688
01028,Baneins,39.0568
01029,Beaupont,42.0475885507367
01030,Beauregard,39.5523595937724
01031,Bellignat,38.9542770626255
01032,B̩ligneux,35.4438589344896
01033,Valserh̫ne,39.0199526266916
01034,Belley,44.4096675935445
01035,Belleydoux,44.349025974026
01036,Valromey-sur-S̩ran,46.3565269817163
01037,B̩nonces,42.0979067641723
01038,B̩ny,42.0969629939869
01040,B̩r̩ziat,39.3166666666667
01041,Bettant,41.1452023168467
01042,Bey,40.929692859041
01043,Beynost,40.8561770705376
01044,Billiat,38.1018324177434
01045,Birieux,36.5652219921257
01046,Biziat,38.1333751051121
01047,Blyes,34.8108747044917
01049,La Boisse,38.7802098950525
01050,Boissey,35.8907894736842
01051,Bolozon,49.1123595505618
01052,Bouligneux,44.0267245265685
01053,Bourg-en-Bresse,42.0380990978082
01054,Bourg-Saint-Christophe,37.0222032346708
01056,Boyeux-Saint-J̩r̫me,40.5469138314814
01057,Boz,38.9552529182879
01058,Br̩gnier-Cordon,41.3864468864469
01060,Br̩nod,46.0687014401729
01061,Brens,42.7493380406002
01062,Bressolles,38.5583430724271
01063,Brion,43.3550448539785
01064,Briord,37.6689497716895
01065,Buellas,41.7106638666578
01066,La Burbanche,40.9719101123596
01067,Ceignes,37.9328152544115
01068,Cerdon,43.9662775616083
01069,Certines,40.0361612842003
01071,Cessy,35.6692748480341
01072,Ceyz̩riat,41.9184097909843
01073,Ceyz̩rieu,45.1481891982784
01074,Chalamont,39.9963742737368
01075,Chaleins,37.6701141226819
01076,Chaley,51.0115384615385
01077,Challes-la-Montagne,44.3945945945946
01078,Challex,40.0400751408892
01079,Champagne-en-Valromey,47.8501728879808
01080,Champdor-Corcelles,42.7083203698554
01081,Champfromier,42.5256144826594
