N_TJ,TRIBUNAL_J,moyenne_age
119,Tribunal judiciaire d'Agen,45.3661302546522
58,Tribunal judiciaire d'Aix-en-Provence,41.6357137465894
174,Tribunal judiciaire d'Albertville,42.9016248189923
192,Tribunal judiciaire d'Albi,44.7542565532973
151,Tribunal judiciaire d'AlenÃ§on,44.6904177211121
89,Tribunal judiciaire d'AlÃ¨s,45.6263036534333
190,Tribunal judiciaire d'Amiens,41.2107764872203
122,Tribunal judiciaire d'Angers,40.328114235539
64,Tribunal judiciaire d'AngoulÃªme,44.9762640006459
176,Tribunal judiciaire d'Annecy,40.804740329579
152,Tribunal judiciaire d'Argentan,45.8409720118734
153,Tribunal judiciaire d'Arras,40.9026646980548
93,Tribunal judiciaire d'Auch,47.1047725948066
63,Tribunal judiciaire d'Aurillac,47.2243623854498
205,Tribunal judiciaire d'Auxerre,45.3730278638334
141,Tribunal judiciaire d'Avesnes-sur-Helpe,40.4645183262348
197,Tribunal judiciaire d'Avignon,42.3175938581328
203,Tribunal judiciaire d'Epinal,44.5177722428871
84,Tribunal judiciaire d'Evreux,40.900841663545
117,Tribunal judiciaire d'OrlÃ©ans,40.0622798266843
208,Tribunal judiciaire d'Ã‰vry-Courcouronnes,38.2721285683467
133,Tribunal judiciaire de Bar-le-Duc,44.2809087829502
159,Tribunal judiciaire de Bayonne,44.8589222240158
148,Tribunal judiciaire de Beauvais,39.703280241358
207,Tribunal judiciaire de Belfort,41.3850857799769
78,Tribunal judiciaire de Bergerac,48.106504683304
80,Tribunal judiciaire de BesanÃ§on,39.9578617087737
109,Tribunal judiciaire de Blois,44.4224440994787
210,Tribunal judiciaire de Bobigny,35.8960862045831
177,Tribunal judiciaire de Bonneville,40.1382589034982
94,Tribunal judiciaire de Bordeaux,40.8029125030638
155,Tribunal judiciaire de Boulogne-sur-Mer,41.6743745735589
39,Tribunal judiciaire de Bourg-en-Bresse,40.2051745618974
68,Tribunal judiciaire de Bourges,45.1835820726212
102,Tribunal judiciaire de Bourgoin-Jallieu,40.0528040643531
86,Tribunal judiciaire de Brest,42.1423724202403
69,Tribunal judiciaire de Brive-la-Gaillarde,45.7243901665109
154,Tribunal judiciaire de BÃ©thune,39.8516502707465
96,Tribunal judiciaire de BÃ©ziers,45.3416552604473
61,Tribunal judiciaire de Caen,41.643222615893
118,Tribunal judiciaire de Cahors,47.8375081041417
142,Tribunal judiciaire de Cambrai,41.3254794989278
54,Tribunal judiciaire de Carcassonne,45.1104807210724
198,Tribunal judiciaire de Carpentras,43.3681974855224
193,Tribunal judiciaire de Castres,45.1546556995805
171,Tribunal judiciaire de Chalon-sur-SaÃ´ne,44.8928400730207
