N_CPH,PRUDHOMMES,moyenne_age
1172,Conseil de Prud'hommes d'Abbeville,44.5491080697131
1061,Conseil de Prud'hommes d'Agen,44.8527140160143
970,Conseil de Prud'hommes d'Aix-en-Provence,41.7039808739584
1148,Conseil de Prud'hommes d'Aix-les-Bains,43.2132689209647
1149,Conseil de Prud'hommes d'Albertville,42.9016248189923
1176,Conseil de Prud'hommes d'Albi,44.7542565532973
1109,Conseil de Prud'hommes d'AlenÃ§on,44.6904177211121
1016,Conseil de Prud'hommes d'AlÃ¨s,45.6263036534333
1173,Conseil de Prud'hommes d'Amiens,39.8201469467453
1064,Conseil de Prud'hommes d'Angers,40.328114235539
981,Conseil de Prud'hommes d'AngoulÃªme,44.9762640006459
1151,Conseil de Prud'hommes d'Annecy,40.804740329579
1152,Conseil de Prud'hommes d'Annemasse,38.8057664430919
956,Conseil de Prud'hommes d'Annonay,44.2294908694419
1110,Conseil de Prud'hommes d'Argentan,45.8409720118734
1208,Conseil de Prud'hommes d'Argenteuil,36.4599490770883
971,Conseil de Prud'hommes d'Arles,43.590061208505
1112,Conseil de Prud'hommes d'Arras,40.9026646980548
957,Conseil de Prud'hommes d'Aubenas,45.0609285371586
1020,Conseil de Prud'hommes d'Auch,47.1047725948066
980,Conseil de Prud'hommes d'Aurillac,47.2243623854498
1197,Conseil de Prud'hommes d'Auxerre,45.3730278638334
37373,Conseil de Prud'hommes d'Avesnes sur Helpe,40.4645183262348
1184,Conseil de Prud'hommes d'Avignon,42.3175938581328
1067,Conseil de Prud'hommes d'Avranches,47.0526527034272
1071,Conseil de Prud'hommes d'Epernay,43.6402073006327
1193,Conseil de Prud'hommes d'Epinal,44.3337440538917
1006,Conseil de Prud'hommes d'Evreux,40.6133547528755
1127,Conseil de Prud'hommes d'Haguenau,42.9397207860239
1099,Conseil de Prud'hommes d'Hazebrouck,41.0830167544033
1186,Conseil de Prud'hommes d'Orange,43.3681974855224
1058,Conseil de Prud'hommes d'OrlÃ©ans,40.0622798266843
938,Conseil de Prud'hommes d'Oyonnax,38.0300066144964
1200,Conseil de Prud'hommes d'Ã‰vry-Courcouronnes,37.9932445623709
1080,Conseil de Prud'hommes de Bar-le-Duc,44.2809087829502
1122,Conseil de Prud'hommes de Bayonne,44.8589222240158
1106,Conseil de Prud'hommes de Beauvais,39.703280241358
1199,Conseil de Prud'hommes de Belfort,41.3850857799769
936,Conseil de Prud'hommes de Belley,41.5720726604289
998,Conseil de Prud'hommes de Bergerac,48.106504683304
1005,Conseil de Prud'hommes de Bernay,42.1756235944685
1000,Conseil de Prud'hommes de BesanÃ§on,39.9578617087737
1046,Conseil de Prud'hommes de Blois,44.4224440994787
1205,Conseil de Prud'hommes de Bobigny,35.8960862045831
1153,Conseil de Prud'hommes de Bonneville,40.1382589034982
1021,Conseil de Prud'hommes de Bordeaux,40.8029125030638
1203,Conseil de Prud'hommes de Boulogne-Billancourt,39.6460151642983
1114,Conseil de Prud'hommes de Boulogne-sur-Mer,42.4377029934643
