"PRUDHOMMES","N_CPH","pourcentage_mono"
"Conseil de Prud'hommes d'Abbeville","1172",8.04572776521234
"Conseil de Prud'hommes d'Agen","1061",8.10226709115164
"Conseil de Prud'hommes d'Aix-en-Provence","970",9.9322080729462
"Conseil de Prud'hommes d'Aix-les-Bains","1148",8.06312118721132
"Conseil de Prud'hommes d'Ajaccio","990",10.8888554167927
"Conseil de Prud'hommes d'Albertville","1149",8.42446458355309
"Conseil de Prud'hommes d'Albi","1176",9.21986557916963
"Conseil de Prud'hommes d'Alençon","1109",6.69606526754423
"Conseil de Prud'hommes d'Alès","1016",9.70013467170818
"Conseil de Prud'hommes d'Amiens","1173",8.0734208541884
"Conseil de Prud'hommes d'Angers","1064",6.28768166163834
"Conseil de Prud'hommes d'Angoulême","981",7.97886683267376
"Conseil de Prud'hommes d'Annecy","1151",7.09529143099691
"Conseil de Prud'hommes d'Annemasse","1152",9.07728555671784
"Conseil de Prud'hommes d'Annonay","956",7.31103504820319
"Conseil de Prud'hommes d'Argentan","1110",5.90454119598633
"Conseil de Prud'hommes d'Argenteuil","1208",13.3198947996172
"Conseil de Prud'hommes d'Arles","971",9.58987171239161
"Conseil de Prud'hommes d'Arras","1112",7.9894184750836
"Conseil de Prud'hommes d'Aubenas","957",8.59870862414638
"Conseil de Prud'hommes d'Auch","1020",8.47990160971784
"Conseil de Prud'hommes d'Aurillac","980",6.84133291162656
"Conseil de Prud'hommes d'Auxerre","1197",8.35528460536533
"Conseil de Prud'hommes d'Avesnes sur Helpe","37373",9.62467624118303
"Conseil de Prud'hommes d'Avignon","1184",9.74274793858063
"Conseil de Prud'hommes d'Avranches","1067",6.09112624161044
"Conseil de Prud'hommes d'Epernay","1071",6.66581017634996
"Conseil de Prud'hommes d'Epinal","1193",7.72385156092682
"Conseil de Prud'hommes d'Evreux","1006",8.49060679643566
"Conseil de Prud'hommes d'Haguenau","1127",7.63189608826505
"Conseil de Prud'hommes d'Hazebrouck","1099",7.55320288364175
"Conseil de Prud'hommes d'Orange","1186",9.14230862604325
"Conseil de Prud'hommes d'Orléans","1058",8.11306084530411
"Conseil de Prud'hommes d'Oyonnax","938",8.62264068356667
"Conseil de Prud'hommes d'Évry-Courcouronnes","1200",10.1011605901817
"Conseil de Prud'hommes de Bar-le-Duc","1080",7.18294023425042
"Conseil de Prud'hommes de Bastia","991",11.7127166263599
"Conseil de Prud'hommes de Bayonne","1122",8.26531741998595
"Conseil de Prud'hommes de Beauvais","1106",8.67821080552967
"Conseil de Prud'hommes de Belfort","1199",8.00835609500123
"Conseil de Prud'hommes de Belley","936",7.9590947967606
"Conseil de Prud'hommes de Bergerac","998",8.08010984131413
"Conseil de Prud'hommes de Bernay","1005",7.51904596871538
"Conseil de Prud'hommes de Besançon","1000",7.68597535654756
"Conseil de Prud'hommes de Blois","1046",7.3505340094446
"Conseil de Prud'hommes de Bobigny","1205",15.7726270611068
"Conseil de Prud'hommes de Bonneville","1153",8.81340044611672
"Conseil de Prud'hommes de Bordeaux","1021",8.3987635142738
"Conseil de Prud'hommes de Boulogne-Billancourt","1203",10.843188933956
"Conseil de Prud'hommes de Boulogne-sur-Mer","1114",7.63772503795723
"Conseil de Prud'hommes de Bourg-en-Bresse","937",7.86837961184198
"Conseil de Prud'hommes de Bourges","986",7.25141799269202
"Conseil de Prud'hommes de Bourgoin-Jallieu","1036",8.25777927083012
"Conseil de Prud'hommes de Brest","1013",7.59582677631902
"Conseil de Prud'hommes de Brive-la-Gaillarde","988",7.37706930920469
"Conseil de Prud'hommes de Béthune","1113",9.3747798460403
"Conseil de Prud'hommes de Béziers","1024",9.78519535908632
"Conseil de Prud'hommes de Caen","975",7.39516954272029
"Conseil de Prud'hommes de Cahors","1059",7.35133848413881
"Conseil de Prud'hommes de Calais","1115",7.59961045471615
"Conseil de Prud'hommes de Cambrai","1091",9.29575873644881
"Conseil de Prud'hommes de Cannes","952",10.7765618809622
"Conseil de Prud'hommes de Carcassonne","965",9.32824616296213
"Conseil de Prud'hommes de Castres","1177",7.57813763714396
"Conseil de Prud'hommes de Chalon-sur-Saône","1143",7.30850476411606
"Conseil de Prud'hommes de Chambéry","1150",7.80862487226545
"Conseil de Prud'hommes de Charleville-Mézières","958",7.77984751703297
"Conseil de Prud'hommes de Chartres","1009",7.07102300211175
"Conseil de Prud'hommes de Chaumont","1073",7.19197686788622
"Conseil de Prud'hommes de Cherbourg-en-Cotentin","1068",6.57380485209627
"Conseil de Prud'hommes de Châlons-en-Champagne","1070",6.30914375819077
"Conseil de Prud'hommes de Châteaudun","1010",5.72093970687784
"Conseil de Prud'hommes de Châteauroux","1033",7.29712755592127
"Conseil de Prud'hommes de Clermont-Ferrand","1119",7.6480659920029
"Conseil de Prud'hommes de Colmar","1134",8.16592795938067
"Conseil de Prud'hommes de Compiègne","1107",8.45278599917577
"Conseil de Prud'hommes de Coutances","1069",6.46675647306755
"Conseil de Prud'hommes de Creil","1108",9.56335013331211
"Conseil de Prud'hommes de Créteil","1206",13.0061777752532
"Conseil de Prud'hommes de Dax","1044",8.8206639773284
"Conseil de Prud'hommes de Dieppe","1157",6.63124873783746
"Conseil de Prud'hommes de Digne-les-Bains","948",9.11234959753313
"Conseil de Prud'hommes de Dijon","993",7.04287524588124
"Conseil de Prud'hommes de Dinan","994",7.49054070449412
"Conseil de Prud'hommes de Dole","1041",7.41175706239474
"Conseil de Prud'hommes de Douai","1094",9.8762968994805
"Conseil de Prud'hommes de Draguignan","1181",9.58774289801205
"Conseil de Prud'hommes de Dreux","1011",7.66962964575168
"Conseil de Prud'hommes de Dunkerque","1095",8.40638255605912
"Conseil de Prud'hommes de Foix","962",9.88483245547906
"Conseil de Prud'hommes de Fontainebleau","1162",9.08414133301048
"Conseil de Prud'hommes de Forbach","1084",8.51447868628504
"Conseil de Prud'hommes de Fréjus","1182",9.46176796065516
"Conseil de Prud'hommes de Gap","951",8.05500390636286
"Conseil de Prud'hommes de Grasse","953",9.81396050400964
"Conseil de Prud'hommes de Grenoble","5647",7.94756803794198
"Conseil de Prud'hommes de Guingamp","995",8.26051039600393
"Conseil de Prud'hommes de Guéret","997",7.8855232900164
"Conseil de Prud'hommes de La Roche-sur-Yon","1187",6.16582010097454
"Conseil de Prud'hommes de La Rochelle","984",8.19688350284933
"Conseil de Prud'hommes de Laon","942",8.61290712605335
"Conseil de Prud'hommes de Laval","1075",5.83969292899281
"Conseil de Prud'hommes de Lens","1116",11.5343913752305
