TRIBUNAL_J,N_TJ,pauvrete
Tribunal judiciaire d'Agen,119,1.4294670846395
Tribunal judiciaire d'Aix-en-Provence,58,8.11290322580645
Tribunal judiciaire d'Ajaccio,71,1.33870967741935
Tribunal judiciaire d'Albertville,174,1.5327868852459
Tribunal judiciaire d'Albi,192,1.25153374233129
Tribunal judiciaire d'AlenÃ§on,151,0.801047120418848
Tribunal judiciaire d'AlÃ¨s,89,2.58620689655172
Tribunal judiciaire d'Amiens,190,0.740932642487047
Tribunal judiciaire d'Angers,122,3.39473684210526
Tribunal judiciaire d'AngoulÃªme,64,1.0524861878453
Tribunal judiciaire d'Annecy,176,1.25316455696203
Tribunal judiciaire d'Argentan,152,1.16494845360825
Tribunal judiciaire d'Arras,153,0.921717171717172
Tribunal judiciaire d'Auch,93,0.431670281995662
Tribunal judiciaire d'Aurillac,63,0.272357723577236
Tribunal judiciaire d'Auxerre,205,0.569343065693431
Tribunal judiciaire d'Avesnes-sur-Helpe,141,4.43046357615894
Tribunal judiciaire d'Avignon,197,4.86111111111111
Tribunal judiciaire d'Epinal,203,1.13412228796844
Tribunal judiciaire d'Evreux,84,0.955555555555556
Tribunal judiciaire d'OrlÃ©ans,117,1.67567567567568
Tribunal judiciaire d'Ã‰vry-Courcouronnes,208,4.71649484536082
Tribunal judiciaire de Bar-le-Duc,133,0.436734693877551
Tribunal judiciaire de Bastia,72,1.25847457627119
Tribunal judiciaire de Bayonne,159,1.71544715447154
Tribunal judiciaire de Beauvais,148,0.816326530612245
Tribunal judiciaire de Belfort,207,1.54455445544554
Tribunal judiciaire de Bergerac,78,0.611111111111111
Tribunal judiciaire de BesanÃ§on,80,0.259351620947631
Tribunal judiciaire de Blois,109,1.06367041198502
Tribunal judiciaire de Bobigny,210,25.525
Tribunal judiciaire de Bonneville,177,3.21666666666667
Tribunal judiciaire de Bordeaux,94,2.78488372093023
Tribunal judiciaire de Boulogne-sur-Mer,155,2.27572016460905
Tribunal judiciaire de Bourg-en-Bresse,39,1.60459183673469
Tribunal judiciaire de Bourges,68,0.730769230769231
Tribunal judiciaire de Bourgoin-Jallieu,102,1.39669421487603
Tribunal judiciaire de Brest,86,2.86754966887417
Tribunal judiciaire de Brive-la-Gaillarde,69,1.01030927835052
Tribunal judiciaire de BÃ©thune,154,9.60431654676259
Tribunal judiciaire de BÃ©ziers,96,4.37106918238994
Tribunal judiciaire de Caen,61,1.24473684210526
Tribunal judiciaire de Cahors,118,0.399361022364217
Tribunal judiciaire de Cambrai,142,2.60344827586207
Tribunal judiciaire de Carcassonne,54,0.49002849002849
Tribunal judiciaire de Carpentras,198,5.50632911392405
Tribunal judiciaire de Castres,193,1.88741721854305
Tribunal judiciaire de Chalon-sur-SaÃ´ne,171,0.909967845659164
Tribunal judiciaire de ChambÃ©ry,175,1.26490066225166
Tribunal judiciaire de Charleville-MÃ©ziÃ¨res,51,0.908482142857143
Tribunal judiciaire de Chartres,85,1.1013698630137
Tribunal judiciaire de Chaumont,129,0.384976525821596
Tribunal judiciaire de Cherbourg-en-Cotentin,125,0.783216783216783
Tribunal judiciaire de ChÃ¢lons-en-Champagne,127,0.462585034013605
Tribunal judiciaire de ChÃ¢teauroux,100,0.809128630705394
Tribunal judiciaire de Clermont-Ferrand,157,0.905172413793103
Tribunal judiciaire de Colmar,165,1.30693069306931
Tribunal judiciaire de CompiÃ¨gne,149,1.06410256410256
Tribunal judiciaire de Coutances,126,1.41390728476821
Tribunal judiciaire de CrÃ©teil,211,14.3829787234043
Tribunal judiciaire de Cusset,43,1.15753424657534
Tribunal judiciaire de Dax,107,1.85526315789474
Tribunal judiciaire de Dieppe,180,0.819787985865724
Tribunal judiciaire de Digne-les-Bains,46,1.14646464646465
Tribunal judiciaire de Dijon,73,0.458452722063037
Tribunal judiciaire de Douai,143,8.140625
Tribunal judiciaire de Draguignan,195,7.3781512605042
Tribunal judiciaire de Dunkerque,144,3.45945945945946
Tribunal judiciaire de Foix,52,0.668711656441718
Tribunal judiciaire de Fontainebleau,183,2.14583333333333
Tribunal judiciaire de Gap,47,0.864197530864197
Tribunal judiciaire de Grasse,48,5.83870967741935
Tribunal judiciaire de Grenoble,103,1.62717770034843
Tribunal judiciaire de GuÃ©ret,77,0.36328125
Tribunal judiciaire de La Roche-sur-Yon,199,1.84
